"","Establishment.ID","Inspection.ID","Establishment.Name","Severity","Latitude","Longitude"
"3284",10302321,105188272,"EPIPHANY OF OUR LORD YMCA CHILD CARE CENTRE","NA",43.79897,-79.32894
"3285",10302508,105474101,"BAKSH HALAL MEAT","M",43.743,-79.2218
"3286",10302558,104976576,"LEDBURY PARK CHILDCARE","NA",43.7274,-79.42733
"3287",10302560,105124686,"HOT OVEN BAKERY","M",43.65132,-79.47667
"3288",10302871,105161078,"THE KEG","C",43.70584,-79.39784
"3289",10303111,105077414,"DOLLARAMA","NA",43.65575,-79.36993
"3290",10303161,105083534,"GIGA BITES","M",43.66453,-79.41399
"3291",10303232,105213920,"RED LANTERN PUB","M",43.6978,-79.38935
"3292",10303463,105022098,"HOT DOG CART #506","NA",43.64086,-79.37708
"3293",10303500,105018372,"JODIE'S RESTAURANT","NA",43.60509,-79.52872
"3294",10303534,105085308,"PHARMA MEDICA RESEARCH INC","NA",43.79149,-79.25356
"3295",10303710,105158997,"SUON ACADEMY","M",43.71058,-79.51169
"3296",10303829,105076444,"AUGUSTA FRUIT MARKET","S",43.6552,-79.40229
"3297",10303833,105063731,"LE THOBORS CAFE","S",43.70459,-79.3883
"3298",10303904,105010493,"THAI ISLAND","M",43.64648,-79.379
"3299",10303909,105298503,"MONTESSORI JEWISH DAY SCHOOL","S",43.74926,-79.43984
"3300",10304251,105314667,"ELITE BANQUET HALLS & CONVENTION CENTRE","M",43.7465,-79.61542
"3301",10304261,105202846,"QUEEN VICTORIA CHILD CARE CENTRE","NA",43.63627,-79.43474
"3302",10304271,105052662,"KING'S FOOD MARKET","NA",43.63865,-79.42875
"3303",10304285,105085762,"JOHN ENGLISH SCHOOL STUDENT NUTRITION SITE","NA",43.61186,-79.49442
"3304",10304434,105084871,"WAREHOUSE STORAGE","NA",43.63269,-79.41994
"3305",10304452,105367385,"7-ELEVEN","C",43.72047,-79.51357
"3306",10304453,105350181,"HANOI 3 SEASONS","M",43.66208,-79.33451
"3307",10304517,105047022,"TIM HORTONS","NA",43.72722,-79.32664
"3308",10304521,105242181,"SQUIRE & FIRKIN","M",43.64494,-79.52129
"3309",10304569,104996510,"WALI HOT DOG","S",43.65908,-79.39148
